Chrom	Start	End	Gene_Symbol	Tau	Expression	Visualization
1	14881064	14892691	DUS4L	0.32036	Show	Gbrowse
1	14889699	14891409	LOC112533028	0.75436	Show	Gbrowse
1	14895752	14919196	BCAP29	0.26370	Show	Gbrowse
1	14895794	14895811	MIR2126	low_expression	Show	Gbrowse
1	14895794	14895811	MIR2126	low_expression	Show	Gbrowse
1	14925045	14947031	SLC26A4	0.86733	Show	Gbrowse
1	14949349	14955889	CBLL1	0.32141	Show	Gbrowse
1	14957159	14974129	SLC26A3	0.96326	Show	Gbrowse
1	14993975	15007778	DLD	0.24014	Show	Gbrowse
1	15009166	15050971	LAMB1	0.27329	Show	Gbrowse
1	15050926	15056640	LOC112533030	0.68719	Show	Gbrowse
1	15051530	15107119	LAMB4	0.89313	Show	Gbrowse
1	15105451	15128477	ERGIC2	0.16542	Show	Gbrowse
1	15133563	15199297	LRRK2	0.50342	Show	Gbrowse
1	15244036	15380509	SLC2A13	0.43586	Show	Gbrowse
1	15385233	15407880	C12orf40	0.93678	Show	Gbrowse
1	15385592	15388151	LOC107051632	0.94822	Show	Gbrowse
1	15407886	15449742	ABCD2	0.33493	Show	Gbrowse
1	15453730	15468774	LOC107051634	0.74418	Show	Gbrowse
1	15476307	15488076	LOC107051635	0.82251	Show	Gbrowse
1	15477720	15562176	KIF21A	0.41692	Show	Gbrowse
1	15566268	15614996	SIIL	0.92193	Show	Gbrowse
1	15633800	15729900	CPNE8	0.50068	Show	Gbrowse
1	15818802	15825287	ALG10	0.48770	Show	Gbrowse
1	15825338	15829359	TPRKB	0.23091	Show	Gbrowse
1	15831745	15834574	LOC100859509	0.89035	Show	Gbrowse
1	15836990	15848000	GTSE1	0.54105	Show	Gbrowse
1	15848577	15860201	TRMU	0.29731	Show	Gbrowse
1	15865481	16041559	CELSR1	0.50339	Show	Gbrowse
1	16045165	16063600	HIST1H2B5L	0.61594	Show	Gbrowse
1	16063693	16139376	GRAMD4	0.43746	Show	Gbrowse
1	16231358	16235107	LOC107051636	0.68587	Show	Gbrowse
1	16257552	16300910	CERK	0.27612	Show	Gbrowse
1	16325240	16480220	TBC1D22A	0.31262	Show	Gbrowse
1	16580671	16599623	LOC107051637	0.98124	Show	Gbrowse
1	17209169	17633993	FAM19A5	0.71297	Show	Gbrowse
1	17265356	17287128	LOC107051638	0.94369	Show	Gbrowse
1	17500257	17512250	LOC112533144	0.89654	Show	Gbrowse
1	17612550	17615545	LOC107051639	0.93707	Show	Gbrowse
1	18813521	18820475	LOC107049439	0.95000	Show	Gbrowse
1	18925596	18989763	BRD1	0.25856	Show	Gbrowse
1	18995439	19019861	ZBED4	0.43573	Show	Gbrowse
1	19029127	19044919	ALG12	0.33751	Show	Gbrowse
1	19045073	19056005	CRELD2	0.23519	Show	Gbrowse
1	19075387	19090925	LOC112533146	low_expression	Show	Gbrowse
1	19083941	19098742	LOC112533145	low_expression	Show	Gbrowse
1	19125808	19145394	LOC112533147	0.99576	Show	Gbrowse
1	19247618	19263294	LOC101748137	0.98660	Show	Gbrowse
1	19333597	19338292	PIM3	0.26445	Show	Gbrowse
1	19488841	19507393	LOC112533148	1.00000	Show	Gbrowse
1	19522231	19526518	LOC107050165	0.94528	Show	Gbrowse
1	19560781	19566494	LOC107050376	0.95392	Show	Gbrowse
1	19600827	19603939	LOC112533150	0.96660	Show	Gbrowse
1	19600885	19609603	LOC112533149	0.95154	Show	Gbrowse
1	19777919	19940035	LOC101748415	0.98431	Show	Gbrowse
1	19832894	19871829	LOC107050120	0.95926	Show	Gbrowse
1	19946505	19954144	LOC101748454	0.92310	Show	Gbrowse
1	20128643	20150217	LOC112533151	0.99558	Show	Gbrowse
1	20197561	20199924	LOC112533152	0.91755	Show	Gbrowse
1	20198058	20241024	IL17REL	0.64383	Show	Gbrowse
1	20258069	20275058	MLC1	0.82776	Show	Gbrowse
1	20276288	20309611	MOV10L1	0.85156	Show	Gbrowse
1	20308317	20328137	LOC107049700	0.92345	Show	Gbrowse
1	20313293	20317559	LOC112533153	0.89863	Show	Gbrowse
1	20328207	20349394	PANX2	0.65918	Show	Gbrowse
1	20369233	20372037	LOC429348	0.95306	Show	Gbrowse
1	20383107	20415387	TRABD	0.32802	Show	Gbrowse
1	20445318	20449467	LOC112533154	0.90602	Show	Gbrowse
1	20449458	20462470	SELENOO	0.43451	Show	Gbrowse
1	20464476	20487466	TUBGCP6	0.38419	Show	Gbrowse
1	20487632	20503540	HDAC10	0.37227	Show	Gbrowse
1	20505030	20508702	LOC417741	0.97280	Show	Gbrowse
1	20524505	20555654	MAPK12	0.47710	Show	Gbrowse
1	20564339	20594716	MAPK11	0.41875	Show	Gbrowse
1	20647433	20898267	PLXNB2	0.30932	Show	Gbrowse
1	20686698	20689387	LOC107051595	0.82176	Show	Gbrowse
1	20719900	20719920	MIR1693	low_expression	Show	Gbrowse
1	20719900	20719920	MIR1693	low_expression	Show	Gbrowse
1	20959037	21036750	ZNF800	0.50546	Show	Gbrowse
1	21072255	21396652	GRM8	0.87420	Show	Gbrowse
1	21884111	21949081	POT1	0.39027	Show	Gbrowse
1	21985328	21997138	GPR37	0.75746	Show	Gbrowse
1	21997011	22014012	LOC112533160	0.92558	Show	Gbrowse
1	22204054	22231720	ARL8BL	0.42309	Show	Gbrowse
1	22238231	22255751	SPAM1	0.90125	Show	Gbrowse
1	22307910	22327497	HYAL6	0.96630	Show	Gbrowse
1	22342540	22349981	LOC107052593	0.85000	Show	Gbrowse
1	22351089	22401091	WASL	0.26726	Show	Gbrowse
1	22419625	22425777	LMOD2	0.89885	Show	Gbrowse
1	22434435	22445893	ASB15	0.88187	Show	Gbrowse
1	22449623	22454673	NDUFA5	0.29504	Show	Gbrowse
1	22454199	22477194	IQUB	0.71651	Show	Gbrowse
1	22485251	22539257	ATP6AP1	0.27521	Show	Gbrowse
1	22510844	22524976	LOC107052612	0.81070	Show	Gbrowse
1	22565946	22594889	SLC13A1	0.84535	Show	Gbrowse
1	22670262	22972029	CADPS2	0.55907	Show	Gbrowse
1	22978974	22982160	FEZF1	0.96909	Show	Gbrowse
1	22990521	23003283	LOC112533174	0.98149	Show	Gbrowse
1	23007392	23039846	AASS	0.44897	Show	Gbrowse
1	23043203	23177070	PTPRZ1	0.65063	Show	Gbrowse
1	23351573	23381021	FAM3C	0.28970	Show	Gbrowse
1	23385216	23397661	WNT16	0.71737	Show	Gbrowse
1	23413120	23554790	CPED1	0.45600	Show	Gbrowse
1	23518734	23518753	MIR1645	low_expression	Show	Gbrowse
1	23518734	23518797	MIR1645	low_expression	Show	Gbrowse
1	23568698	23587079	ING3	0.30077	Show	Gbrowse
1	23608924	23654511	TSPAN12	0.30370	Show	Gbrowse
1	23659773	23928416	KCND2	0.78798	Show	Gbrowse
1	23932720	23966928	LOC100859665	0.79838	Show	Gbrowse
1	24015092	24022675	LOC112533180	low_expression	Show	Gbrowse
1	24435899	24484038	ANKRD26	0.42661	Show	Gbrowse
1	24489380	24495990	LSM8	0.33384	Show	Gbrowse
1	24533867	24566990	LOC112533181	0.98690	Show	Gbrowse
1	24616305	24691437	CTTNBP2	0.41570	Show	Gbrowse
1	24696007	24780327	CFTR	0.75270	Show	Gbrowse
1	24799480	24836289	ASZ1	0.95501	Show	Gbrowse
1	24839428	24855392	WNT2	0.83334	Show	Gbrowse
1	24857853	24995222	ST7	0.36563	Show	Gbrowse
1	24996000	24997204	LOC101747342	0.93468	Show	Gbrowse
1	25007203	25036930	CAPZA2	0.18959	Show	Gbrowse
1	25059900	25148633	MET	0.54126	Show	Gbrowse
1	25133581	25159068	LOC112533184	0.97354	Show	Gbrowse
1	25201919	25216271	CAV1	0.47652	Show	Gbrowse
1	25223560	25231414	CAV2	0.51504	Show	Gbrowse
1	25316653	25342777	TES	0.34095	Show	Gbrowse
1	25430536	25492527	TFEC	0.72327	Show	Gbrowse
1	25679910	25684419	LOC107052646	0.97778	Show	Gbrowse
1	25772768	25802569	LOC112533188	0.98303	Show	Gbrowse
1	25905660	25954293	MDFIC	0.31806	Show	Gbrowse
1	26047195	26460767	FOXP2	0.57669	Show	Gbrowse
1	26252263	26280685	LOC112533189	0.85104	Show	Gbrowse
1	26495001	26495942	LOC107052882	0.97812	Show	Gbrowse
1	26502841	26529712	PPP1R3A	0.94128	Show	Gbrowse
1	26796193	26800050	LOC107052650	0.28902	Show	Gbrowse
1	26817301	26823188	GPR85	0.75776	Show	Gbrowse
1	26856784	26860862	LOC107052654	0.89775	Show	Gbrowse
1	26866541	26866562	MIR1695	low_expression	Show	Gbrowse
1	26866541	26866562	MIR1695	low_expression	Show	Gbrowse
1	26897056	26903760	LOC107052656	0.95797	Show	Gbrowse
1	26909371	26943287	BMT2	0.51514	Show	Gbrowse
1	26942362	26972265	TMEM168	0.33496	Show	Gbrowse
1	26994792	26998892	LOC101747665	1.00000	Show	Gbrowse
1	27017913	27020534	LOC107052883	0.99473	Show	Gbrowse
1	27049097	27056263	LSMEM1	0.76670	Show	Gbrowse
1	27057991	27068584	IFRD1	0.19667	Show	Gbrowse
1	27099983	27109185	LOC112533197	0.87910	Show	Gbrowse
1	27109323	27163047	ZNF277	0.27382	Show	Gbrowse
1	27163248	27409762	DOCK4	0.51474	Show	Gbrowse
1	27427802	27880576	IMMP2L	0.45843	Show	Gbrowse
1	27615890	27653289	LRRN3	0.83552	Show	Gbrowse
1	28562682	28571177	DNAJB9	0.26504	Show	Gbrowse
1	28571393	28577816	THAP5	0.32243	Show	Gbrowse
1	28625801	28633253	AVPR2	0.88842	Show	Gbrowse
1	28650992	28687291	PNPLA8	0.29724	Show	Gbrowse
1	28703928	28846685	NRCAM	0.62523	Show	Gbrowse
1	28914757	28915825	LOC112533215	0.99697	Show	Gbrowse
1	29035554	29120868	CNTN1	0.61047	Show	Gbrowse
1	29145715	29150464	LOC112533217	low_expression	Show	Gbrowse
1	29166143	29419274	PDZRN4	0.71532	Show	Gbrowse
1	29589322	29620400	GXYLT1	0.43498	Show	Gbrowse
1	29633507	29660476	YAF2	0.42987	Show	Gbrowse
1	29690803	29702642	ZCRB1	0.21331	Show	Gbrowse
1	29702686	29770996	PPHLN1	0.35417	Show	Gbrowse
